Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
ftv44,1921,-16.03331598125976,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2403,-23.47066167290886,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1544,-16.70984455958549,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,45346,-20.10320645701937,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1648,-7.1601941747572795,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1797,-10.517529215358934,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8481,-18.582714302558657,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1655,-10.996978851963746,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1731,-23.396880415944537,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1785,-34.845938375350144,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3792,-28.270042194092824,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3465,-28.860028860028862,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft70,41759,-7.390023707464252,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3807,-27.633307065931177,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2102,-15.509039010466225,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2332,-16.38078902229846,probability_of_shuffle,20,0.1,100,0.5,0.6,3,2,10,20,0.3,0.1,1.5,0.95
p43,5653,-0.5837608349548873,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,15406,-6.387121900558228,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1917,-15.858111632759517,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2351,-21.77796682262867,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1503,-14.437791084497675,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,45824,-20.936627094972067,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1624,-5.78817733990148,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1948,-17.453798767967143,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8535,-19.097832454598702,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1744,-15.538990825688074,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1787,-34.91885842193621,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3854,-29.423975090814736,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3452,-28.592120509849366,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft70,41557,-6.939865726592387,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3741,-26.356589147286826,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2162,-17.85383903792784,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2333,-16.416630947278193,probability_of_shuffle,20,0.1,100,0.6,0.6,3,2,10,20,0.3,0.1,1.5,0.95
p43,5647,-0.4781299805206203,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,15650,-7.846645367412137,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1942,-16.941297631307933,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2578,-28.665632273079908,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1447,-11.126468555632343,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,45543,-20.448806622312972,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1618,-5.4388133498145805,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1980,-18.787878787878782,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8645,-20.127241179872755,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1734,-15.051903114186842,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1733,-23.48528563185228,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1786,-34.882418812989926,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3824,-28.870292887029294,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3535,-30.26874115983027,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ft70,42157,-8.26434518585289,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3771,-26.94245558207372,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2184,-18.681318681318686,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2361,-17.407878017789074,probability_of_heuristic,20,0.1,100,0.4,0.3,3,2,10,20,0.3,0.1,1.5,0.95
p43,5661,-0.7242536654301404,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,16043,-10.104095244031669,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1905,-15.328083989501323,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2571,-28.47141190198367,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1502,-14.380825565912119,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,45310,-20.039726329728538,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1623,-5.730129390018476,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1970,-18.375634517766485,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8712,-20.741505968778696,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1641,-10.237659963436926,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1806,-35.60354374307863,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3858,-29.497148781752202,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3535,-30.26874115983027,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ft70,42132,-8.209911706066649,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3832,-28.1054279749478,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2152,-17.472118959107803,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2307,-15.474642392717826,probability_of_heuristic,20,0.1,100,0.4,0.4,3,2,10,20,0.3,0.1,1.5,0.95
p43,5642,-0.3899326479971563,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,15788,-8.652140866480877,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1875,-13.973333333333343,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2371,-22.437789962041336,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1483,-13.283884018880642,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,45369,-20.143710463091537,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1618,-5.4388133498145805,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1947,-17.411402157164872,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8425,-18.041543026706236,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1730,-14.855491329479761,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1728,-23.263888888888886,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1812,-35.8167770419426,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3770,-27.851458885941653,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3468,-28.92156862745098,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ft70,41838,-7.564893159328847,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3885,-29.086229086229082,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2106,-15.669515669515661,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2424,-19.554455445544548,probability_of_heuristic,20,0.1,100,0.4,0.5,3,2,10,20,0.3,0.1,1.5,0.95
p43,5666,-0.8118602188492758,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,16080,-10.310945273631845,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1861,-13.326168726491133,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2306,-20.251517779705125,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1458,-11.796982167352539,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
