Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
br17,39,0.0,a,20,0.1,100,0.4,0.6,1.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv55,1912,-15.89958158995816,a,20,0.1,100,0.4,0.6,1.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv170,3879,-28.97654034544985,a,20,0.1,100,0.4,0.6,1.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv35,1730,-14.855491329479761,a,20,0.1,100,0.4,0.6,0.5,2.0,5,20,0.3,0.1,1.5,0.95
ft53,8519,-18.945885667331837,a,20,0.1,100,0.4,0.6,0.5,2.0,5,20,0.3,0.1,1.5,0.95
rbg443,3718,-26.842388380849926,a,20,0.1,100,0.4,0.6,0.5,2.0,5,20,0.3,0.1,1.5,0.95
ftv44,1924,-16.16424116424116,b,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv70,2427,-19.653893695920885,b,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,b,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ry48p,15933,-9.483461997112911,b,20,0.1,100,0.4,0.6,2.0,1.0,5,20,0.3,0.1,1.5,0.95
ftv64,2421,-24.039653035935558,b,20,0.1,100,0.4,0.6,2.0,1.0,5,20,0.3,0.1,1.5,0.95
rbg358,1782,-34.73625140291807,b,20,0.1,100,0.4,0.6,2.0,1.0,5,20,0.3,0.1,1.5,0.95
p43,5669,-0.8643499735402997,b,20,0.1,100,0.4,0.6,2.0,0.5,5,20,0.3,0.1,1.5,0.95
ft53,8676,-20.41263254956202,b,20,0.1,100,0.4,0.6,2.0,0.5,5,20,0.3,0.1,1.5,0.95
ftv170,3811,-27.709262660718963,b,20,0.1,100,0.4,0.6,2.0,0.5,5,20,0.3,0.1,1.5,0.95
ftv38,1608,-4.850746268656707,max_length_percent_of_cycle,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.2,0.1,1.5,0.95
ft53,8541,-19.15466573000819,max_length_percent_of_cycle,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.2,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,max_length_percent_of_cycle,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.2,0.1,1.5,0.95
ftv35,1679,-12.269207861822522,max_length_percent_of_cycle,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv55,1888,-14.830508474576277,max_length_percent_of_cycle,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,max_length_percent_of_cycle,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
p43,5668,-0.8468595624558901,swap_states_probability,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.05,1.5,0.95
ftv70,2374,-17.860151642796964,swap_states_probability,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.05,1.5,0.95
rbg358,1812,-35.8167770419426,swap_states_probability,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.05,1.5,0.95
ry48p,16232,-11.15081320847709,swap_states_probability,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.15,1.5,0.95
ftv64,2274,-19.129287598944586,swap_states_probability,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.15,1.5,0.95
rbg358,1796,-35.24498886414253,swap_states_probability,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.15,1.5,0.95
ftv35,1666,-11.584633853541419,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.9
ftv64,2513,-26.820533227218462,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.9
rbg323,1723,-23.041207196749852,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.9
ftv35,1729,-14.80624638519376,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.98
ft70,41954,-7.8204700386137205,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.98
rbg443,3821,-28.81444647997907,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.98
p43,5661,-0.7242536654301404,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.8
ft70,42397,-8.783640351911686,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.8
rbg358,1772,-34.36794582392777,cooling_rate,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.8
