Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
p43,5675,-0.969162995594715,probability_of_shuffle,20,0.1,100,0.5,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ft53,8534,-19.088352472463086,probability_of_shuffle,20,0.1,100,0.5,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg443,3806,-28.533893851812934,probability_of_shuffle,20,0.1,100,0.5,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ry48p,15503,-6.9728439656840635,probability_of_shuffle,20,0.1,100,0.6,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ft70,42227,-8.416416037132649,probability_of_shuffle,20,0.1,100,0.6,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,probability_of_shuffle,20,0.1,100,0.6,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv35,1697,-13.199764289923394,probability_of_shuffle,20,0.1,100,0.7,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv64,2467,-25.456019456830163,probability_of_shuffle,20,0.1,100,0.7,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,probability_of_shuffle,20,0.1,100,0.7,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv35,1694,-13.046044864226687,probability_of_shuffle,20,0.1,100,0.8,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv70,2500,-22.0,probability_of_shuffle,20,0.1,100,0.8,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg443,3841,-29.18510804478001,probability_of_shuffle,20,0.1,100,0.8,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv33,1482,-13.225371120107965,probability_of_heuristic,20,0.1,100,0.4,0.5,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ft70,42003,-7.928005142489823,probability_of_heuristic,20,0.1,100,0.4,0.5,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg323,1726,-23.174971031286205,probability_of_heuristic,20,0.1,100,0.4,0.5,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv44,1928,-16.338174273858925,probability_of_heuristic,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ft53,8637,-20.053259233530156,probability_of_heuristic,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg403,3483,-29.227677289692792,probability_of_heuristic,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv35,1662,-11.371841155234648,probability_of_heuristic,20,0.1,100,0.4,0.7,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ft70,42236,-8.435931432900844,probability_of_heuristic,20,0.1,100,0.4,0.7,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv170,3811,-27.709262660718963,probability_of_heuristic,20,0.1,100,0.4,0.7,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv33,1479,-13.04935767410413,probability_of_heuristic,20,0.1,100,0.4,0.8,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv55,1848,-12.987012987012989,probability_of_heuristic,20,0.1,100,0.4,0.8,2.0,2.0,5,20,0.3,0.1,1.5,0.95
rbg358,1779,-34.62619449128724,probability_of_heuristic,20,0.1,100,0.4,0.8,2.0,2.0,5,20,0.3,0.1,1.5,0.95
br17,39,0.0,a,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ft70,42334,-8.6478953087353,a,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
ftv170,3811,-27.709262660718963,a,20,0.1,100,0.4,0.6,2.0,2.0,5,20,0.3,0.1,1.5,0.95
