Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
p43,5649,-0.5133651973800681,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ry48p,16376,-11.932095749877874,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv64,2509,-26.703866082104426,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv33,1565,-17.82747603833866,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
kro124p,46809,-22.60035463265612,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv38,1633,-6.307409675443964,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv55,1959,-17.91730474732006,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ft53,8787,-21.418003869352447,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv35,1788,-17.61744966442953,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg323,1716,-22.727272727272734,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg358,1774,-34.44193912063133,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg443,3725,-26.979865771812086,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg403,3427,-28.071199299679023,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ft70,42806,-9.655188524973141,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv170,3846,-28.367134685387413,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv47,2139,-16.970546984572238,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv70,2368,-17.65202702702703,probability_of_shuffle,10,0.1,100,0.1,0.5,1,2,2,10,0.2,0.1,1.5,0.9
p43,5666,-0.8118602188492758,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ry48p,16562,-12.921144789276667,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv44,1958,-17.6200204290092,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv64,2468,-25.48622366288494,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv33,1513,-15.003304692663576,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
kro124p,45950,-21.153427638737753,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv38,1664,-8.052884615384613,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv55,1981,-18.828874305906112,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ft53,9070,-23.869900771775093,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv35,1788,-17.61744966442953,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg358,1808,-35.674778761061944,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg443,3922,-30.647628760836312,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
rbg403,3509,-29.752066115702476,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ft70,42325,-8.628470171293557,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv170,3882,-29.031427099433287,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv47,2234,-20.501342882721573,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv70,2381,-18.101637967240663,probability_of_shuffle,10,0.1,100,0.2,0.5,1,2,2,10,0.2,0.1,1.5,0.9
p43,5654,-0.6013441811107185,probability_of_shuffle,10,0.1,100,0.3,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ry48p,16466,-12.413458034738241,probability_of_shuffle,10,0.1,100,0.3,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv44,1972,-18.20486815415822,probability_of_shuffle,10,0.1,100,0.3,0.5,1,2,2,10,0.2,0.1,1.5,0.9
ftv64,2550,-27.882352941176464,probability_of_shuffle,10,0.1,100,0.3,0.5,1,2,2,10,0.2,0.1,1.5,0.9
