best_solution_length,time
42515,0.02593088150024414
42471,0.026928186416625977
41815,0.02795863151550293
41659,2.0864202976226807
41568,2.457425832748413
41551,3.4727096557617188
41449,3.693120241165161
41342,5.697761297225952
41257,7.974472522735596
41193,15.218473196029663
41134,16.203857421875
41026,22.922324180603027
42458,29.982627391815186
41815,29.98362398147583
41749,32.117971420288086
41601,32.2775444984436
41390,35.62419867515564
41234,36.580989360809326
41166,36.70587134361267
41085,40.575196504592896
40993,42.99055790901184
40832,50.618913888931274
40802,52.637924909591675
40736,56.20724081993103
70628,59.910210609436035
42458,59.91120767593384
42412,59.91120767593384
42321,59.91220450401306
41815,59.91220450401306
41382,63.72438049316406
41378,65.14386439323425
41067,66.33542037010193
41047,67.4981701374054
40758,77.1531867980957
40602,84.16628694534302
42412,89.82242488861084
42321,89.82346725463867
41815,89.82346725463867
41605,93.20879435539246
41574,93.39536786079407
41560,95.96057987213135
41462,96.09025359153748
41452,97.59206891059875
41442,98.1422107219696
41394,98.19879388809204
41162,98.30083131790161
41146,98.97586154937744
41091,99.27910947799683
41086,99.61820840835571
41017,104.73287272453308
40988,108.0658597946167
40978,111.36415791511536
40925,114.76543736457825
40887,117.22444009780884
40820,119.35617852210999
42458,119.73083353042603
41815,119.73183131217957
41732,120.81060528755188
41576,122.88915657997131
41531,123.41829228401184
41504,124.08737897872925
41193,124.28138375282288
41173,124.40131044387817
41170,124.72135591506958
41092,125.2228832244873
41033,125.93651723861694
40744,126.76060152053833
40665,144.48915362358093
40597,146.49400663375854
42471,149.64450311660767
42412,149.645503282547
42321,149.645503282547
41815,149.6465344429016
41811,149.8642008304596
41724,150.0986328125
41707,151.0001082420349
41625,151.02504181861877
41382,153.38762187957764
41192,154.4596631526947
41172,160.46477603912354
41149,160.89562249183655
41135,165.4231719970703
40993,172.11260890960693
40992,178.3769052028656
42458,179.6110713481903
42412,179.6110713481903
41815,179.61211276054382
41728,182.87614464759827
41645,182.9484543800354
41574,183.5613284111023
41395,184.115629196167
41340,185.25723481178284
41272,185.35796475410461
41149,186.716304063797
41041,191.09606981277466
40821,192.4919843673706
40719,192.95749187469482
40699,206.8000569343567
42458,209.56431889533997
41815,209.56535577774048
41382,211.0366849899292
41192,212.45132493972778
41172,219.3875994682312
41149,220.4407114982605
40993,225.84459352493286
40925,228.6047706604004
40909,234.76596307754517
41815,239.50123620033264
41735,241.04259872436523
41382,243.3037304878235
41378,244.24499034881592
41164,244.32154035568237
40938,245.22692799568176
40870,257.72557044029236
40816,262.8695635795593
72100,269.42170453071594
71869,269.42170453071594
42508,269.42277240753174
42412,269.42277240753174
41815,269.42376923561096
41735,269.55207204818726
41667,270.6573190689087
41393,272.34334897994995
41310,274.82873916625977
41304,276.5315866470337
41103,277.0288031101227
40975,286.0970411300659
40947,287.03110671043396
40879,290.73761653900146
42515,299.33459734916687
42458,299.33459734916687
41815,299.33563208580017
41773,301.7366478443146
41722,302.58505868911743
41659,302.89873600006104
41617,302.97340512275696
41549,304.55949091911316
41454,305.37694478034973
41352,305.63649559020996
41346,305.9180316925049
41321,308.61042881011963
41250,311.510071516037
41151,314.21481347084045
41127,314.4450514316559
41025,317.77736377716064
