best_solution_length,time
42515,0.0339512825012207
42321,0.03495001792907715
41815,0.03495001792907715
41735,1.6216630935668945
41587,1.6625535488128662
41521,1.7782483100891113
41409,3.682407855987549
41403,4.600950002670288
41316,6.110911130905151
41272,7.201992511749268
41144,9.010154247283936
40979,16.668665885925293
42458,30.004991054534912
42321,30.005987405776978
42131,31.25963258743286
42111,31.342410564422607
42088,31.382303476333618
42019,31.695501804351807
41938,32.182164430618286
41916,32.92118692398071
41830,34.013309955596924
41605,34.84706902503967
41506,37.26656198501587
41499,38.89224076271057
41468,38.97000432014465
41269,39.2652153968811
41226,40.16879916191101
41216,40.86693024635315
41192,41.82037949562073
41090,43.23858451843262
41035,54.69743204116821
40895,55.73465847969055
42471,59.973320722579956
42412,59.9743173122406
41815,59.97531533241272
41473,60.48993682861328
41390,64.35312557220459
41371,65.67860054969788
41333,66.15929436683655
41300,67.12573552131653
41293,72.88729333877563
41177,73.50962829589844
41109,75.57709765434265
41102,76.1595401763916
40990,78.35765886306763
40922,78.74661827087402
40744,78.9979465007782
42321,89.89284205436707
41815,89.89284205436707
41735,92.2465033531189
41587,92.5576708316803
41475,94.36184430122375
41392,96.84021377563477
41293,102.94887161254883
41287,102.97380471229553
41114,104.53662419319153
41033,105.89498972892761
40974,107.24936652183533
40949,109.07647943496704
42321,119.85364770889282
42230,119.96135926246643
41750,120.28449440002441
41733,120.296462059021
41717,120.32841324806213
41631,120.46102285385132
41598,125.31703662872314
41597,125.5454261302948
41523,126.78909802436829
41367,128.06368970870972
41299,128.33396458625793
41126,134.55532431602478
41023,140.62209105491638
42321,149.77460956573486
41815,149.77460956573486
41731,151.93482995033264
41506,152.56314659118652
41382,152.8433973789215
41378,155.69576621055603
41067,157.92979454994202
42321,179.68658423423767
41815,179.68658423423767
41807,180.97465538978577
41749,182.05775785446167
41537,182.37889957427979
41480,182.84764504432678
41408,184.4533543586731
41252,185.05673503875732
41150,186.13985180854797
41129,187.12819361686707
41098,187.80438446998596
40740,189.49187397956848
40672,194.25512742996216
42412,209.59010362625122
42321,209.59110021591187
41815,209.5920979976654
41531,212.63595485687256
41451,212.74566102027893
41228,215.00860691070557
41145,215.9690375328064
41139,219.94739770889282
40915,222.74191880226135
40858,227.12120509147644
40822,228.27910494804382
40797,230.56311798095703
40719,233.01755261421204
42471,239.4936101436615
42458,239.4936101436615
42412,239.49460697174072
41815,239.49460697174072
41382,241.6904149055481
41378,243.3683376312256
41094,244.72633504867554
41077,258.8292350769043
41040,259.2884407043457
41036,265.7625894546509
42412,269.4514253139496
41815,269.4514253139496
41767,271.71273589134216
41700,272.05267691612244
41634,272.41660833358765
41605,272.42562460899353
41382,272.70570945739746
41302,273.06391978263855
41291,275.0617187023163
41258,276.21253728866577
41189,277.19980120658875
41140,282.6420171260834
41085,282.7948155403137
40856,284.6101417541504
40787,288.49206161499023
40678,290.4537630081177
40618,293.0941116809845
40612,296.37490010261536
42321,299.3675618171692
42166,300.0619683265686
42117,300.80486941337585
41859,301.0999584197998
41841,301.77496123313904
41759,301.88302993774414
41717,302.1993525028229
41697,302.32604122161865
41651,302.92121505737305
41619,304.29761719703674
41480,304.52825927734375
41256,304.901869058609
41220,306.24328112602234
41064,311.15234112739563
40974,312.44067454338074
40968,316.3241648674011
40908,320.3239805698395
40840,325.3735706806183
