best_solution_length,time
6910,2.552411795
1779,2.553453207
1767,2.553453207
1752,2.556900501
1748,6.167248726
1740,6.22334218
1739,7.364180088
1733,7.486938477
1732,7.929396152
1731,8.165434599
1730,8.229567051
1720,8.266032696
1719,9.545934916
1717,10.00608754
1715,10.1305666
1714,12.33497763
1713,12.39184999
1712,13.41834974
1711,16.91387844
1709,17.08662128
1700,24.94858027
1691,34.59879994
1678,35.48897672
1675,35.8278656
1673,38.66117144
1671,40.05007815
1670,44.54057741
1657,44.62504482
1648,45.19354439
1645,47.36112189
1644,48.14855504
1643,49.44036269
1641,50.12974358
1639,51.14706421
1637,51.39671588
1636,55.89854074
1628,64.60190296
1625,67.00571275
1623,69.42287469
1622,70.32560134
1613,73.80443549
1612,74.69271159
1608,77.16075754
1607,77.24070883
1605,79.93967748
1603,83.81603456
1601,87.33194423
1597,88.3337369
1596,93.00190997
1596,300
