best_solution_length,time
1759,2.738238573
1747,2.739235401
1746,4.503311157
1737,4.692362547
1733,6.135808468
1724,7.315379143
1723,7.955239534
1722,8.548145533
1719,9.251424074
1717,9.387647152
1712,17.71285701
1711,19.06498933
1709,19.61474872
1705,19.72512245
1703,20.35070896
1701,21.1822753
1698,22.22207355
1694,26.98822451
1691,28.67672753
1690,33.72621322
1689,36.59268618
1679,36.99455953
1676,37.23285151
1673,39.10158134
1665,44.41118073
1664,44.99356937
1658,46.92231011
1649,50.50906086
1648,51.90934491
1647,54.51383185
1643,63.63099289
1642,67.05530667
1638,67.48144364
1634,71.15609527
1633,75.04161191
1632,75.19941425
1631,76.31216693
1630,78.48437309
1629,79.00114369
1628,80.16482496
1617,81.67413497
1616,85.49735188
1615,86.09226418
1614,88.33333611
1610,94.31205702
1590,94.60017276
1590,300
