best_solution_length,time
1747,2.543908119
1740,12.11822677
1739,14.31317449
1734,16.00094652
1732,18.95839906
1724,19.86504269
1723,21.19928432
1722,26.54053688
1719,28.29597569
1718,28.39272904
1703,29.04467297
1700,33.27773595
1698,33.68127656
1693,34.33050847
1690,37.40632319
1688,37.71947241
1687,40.28724504
1686,41.86316276
1684,46.5717864
1683,47.69042015
1682,48.83793378
1673,56.69548512
1672,62.19527388
1665,62.68860054
1661,66.18542504
1652,67.8394506
1651,68.87965655
1650,71.13715625
1649,73.1537478
1647,75.78080654
1637,76.12063241
1636,79.50917888
1626,81.13406682
1625,82.23792076
1623,83.7975421
1622,84.15452909
1613,85.91513944
1611,88.50405431
1605,92.54156518
1605,300
