best_solution_length,time
1802,2.628667116
1770,2.629664421
1763,2.630661964
1752,2.632854939
1749,4.885333538
1720,5.25435853
1719,8.026158333
1717,8.504341364
1716,8.92027545
1715,8.958486795
1714,10.0332222
1712,10.1410954
1711,21.46992588
1707,29.87750363
1698,36.16550779
1696,38.77214384
1695,44.11660171
1694,44.21396351
1692,46.35029554
1689,49.38221288
1683,50.03959346
1682,57.39293718
1673,60.33820605
1672,62.80016494
1666,64.02748322
1663,67.92823553
1662,70.50784206
1653,71.03908587
1652,73.56588078
1643,76.35825896
1642,83.6960535
1639,87.27843952
1637,90.34278989
1632,283.9790275
1632,300
