best_solution_length,time
6951,2.621059179
1769,2.622102261
1766,2.622102261
1747,2.623104334
1745,11.11948657
1744,11.44033074
1742,13.20454383
1730,13.92744708
1729,14.33072853
1728,15.00658536
1727,15.65421152
1722,15.71627402
1709,17.92128062
1708,21.23063278
1699,23.96907902
1695,24.74772143
1694,26.93446326
1685,32.11779714
1683,35.64595842
1682,37.17229533
1673,37.95239353
1671,38.91228318
1669,41.73034525
1668,44.86427784
1663,59.2297039
1661,60.499228
1658,61.91594911
1657,62.43083668
1656,64.6850214
1649,64.82201672
1648,64.92524672
1644,68.68618679
1640,73.29768944
1639,74.07222891
1638,81.58409119
1637,81.8001585
1634,84.29596949
1625,85.4551506
1624,88.39619088
1621,91.95942855
1615,153.1952553
1612,154.0060725
1603,159.8994167
1599,160.2736981
1598,164.8269739
1596,166.8076687
1595,174.0677352
1593,178.0429153
1585,178.2057109
1585,300
