best_solution_length,time
1770,2.471771955
1764,2.471771955
1762,5.427694321
1760,6.229126692
1758,7.157112837
1749,9.477123737
1748,11.8839097
1746,12.1274085
1742,12.7798419
1735,15.65282393
1732,15.83444786
1730,16.0257287
1726,21.86118436
1724,21.99506402
1723,22.32912374
1722,25.5429213
1719,26.78539944
1718,29.46232152
1717,30.05925894
1715,31.63620853
1711,31.99648666
1704,38.34704113
1702,40.16374278
1686,41.22229815
1685,42.86746335
1684,43.07478046
1682,43.47559738
1673,44.71695828
1665,44.87763667
1664,51.62221599
1656,54.46515512
1655,57.79906273
1654,57.86473703
1653,62.11437678
1645,62.38199282
1642,62.60569024
1639,72.29664636
1638,73.91117263
1637,78.91129088
1629,83.38846254
1628,85.95851183
1627,86.35972047
1625,86.71464682
1624,90.59942436
1621,91.90930438
1618,165.8137529
1617,168.5144448
1602,169.2780278
1601,169.7206314
1598,169.9442406
1596,182.6991799
1595,185.595015
1589,285.070348
1589,300
