best_solution_length,time
1777,2.546208858
1767,2.547208786
1763,2.548240662
1761,3.746543169
1759,7.142342091
1755,8.010554314
1747,10.08838987
1743,10.27827835
1735,11.62258935
1733,11.78880858
1729,15.04219794
1727,17.18198776
1724,19.38041949
1721,20.30181336
1717,21.64198732
1712,23.01099849
1711,23.22214007
1709,23.70710611
1708,24.61260128
1707,24.81822181
1703,25.51240396
1697,25.99719167
1696,26.92891121
1689,27.39254022
1687,27.57343292
1682,31.84747481
1672,32.54743052
1670,33.23664141
1668,36.92525053
1666,37.17664194
1665,38.86796284
1664,38.92480993
1659,39.34487796
1653,42.73363495
1652,43.75814843
1644,45.12613702
1643,47.6830411
1632,47.94538903
1625,49.88720489
1615,53.81441379
1612,55.35887766
1610,57.43806601
1609,62.04140377
1607,68.46729159
1605,68.72670937
1604,75.92304587
1602,76.29273224
1594,77.39081764
1593,77.96956325
1584,80.53679419
1582,84.24890924
1581,85.55993128
1580,92.17520547
1572,93.61039686
1571,94.05384254
1571,300
