best_solution_length,time
1776,2.560665607
1757,2.561664581
1752,2.561664581
1751,3.177568674
1744,3.358184338
1742,3.551582575
1741,4.494931698
1740,5.317638636
1738,5.650075674
1735,6.270805597
1732,6.511947393
1729,7.282128334
1728,7.320062637
1727,7.659834385
1726,8.068817854
1723,8.408381939
1722,12.95507169
1721,14.93067169
1715,16.96504521
1709,18.3970952
1706,20.16648793
1702,20.91854262
1687,21.35659313
1684,24.5073514
1683,25.5924418
1682,26.83162069
1681,28.73482251
1677,31.4025836
1676,32.13968205
1675,33.66450763
1671,35.35376024
1670,36.37906575
1661,37.38014936
1660,38.7591157
1658,40.54571342
1657,41.9841795
1656,42.75598621
1654,50.82412195
1652,52.40558529
1651,53.00906444
1645,57.20597625
1642,58.13389325
1639,61.29117966
1638,64.00438285
1637,67.84804535
1635,68.27544975
1633,68.37632513
1625,70.89167881
1624,74.37764502
1622,76.12408257
1620,76.43422127
1619,78.72735381
1618,79.23611736
1612,79.58123255
1611,80.50764871
1609,82.03757763
1605,87.66374063
1604,89.01256728
1601,89.06030512
1587,94.47621965
1587,300
