best_solution_length,time
1779,3.837910414
1770,3.838965893
1747,3.840062857
1736,23.3634603
1734,24.06879067
1723,29.35782623
1711,29.71821713
1702,30.89664817
1700,33.5723412
1697,33.88584328
1692,35.79663253
1691,36.19878912
1682,37.89865661
1674,38.57680058
1673,38.86250758
1672,41.52423525
1671,41.80012155
1666,42.12977099
1665,42.18047595
1656,45.47083068
1655,47.11911368
1649,48.5529983
1645,49.78662586
1644,51.3827076
1642,62.19396615
1633,63.8288753
1630,65.34275389
1629,66.83646202
1628,67.23354793
1624,69.19559097
1622,69.22644711
1620,81.68500948
1619,86.48376536
1615,87.27385449
1614,91.35431266
1608,93.61287117
1607,94.8921175
1607,300
