best_solution_length,time
1711,0.017038583755493164
1667,0.019045591354370117
1622,1.2498581409454346
1768,30.15302801132202
1667,30.154789209365845
1637,37.89348101615906
1626,40.03781056404114
1592,56.98861074447632
5032,60.11396908760071
4805,60.11596632003784
1768,60.116997718811035
1711,60.11900019645691
1667,60.12098431587219
1609,61.373592376708984
1606,61.5042142868042
1556,78.3068208694458
1667,90.2161226272583
1660,96.8682816028595
1637,101.09863042831421
1632,104.70747661590576
1556,105.73475217819214
1667,120.26074695587158
1662,123.95729851722717
1637,127.00344157218933
1584,144.55507850646973
1711,150.44368839263916
1667,150.44572567939758
1640,154.57144212722778
1626,155.5364978313446
1559,162.7891387939453
1556,168.2908022403717
1711,180.38544511795044
1667,180.3864357471466
1662,181.40407943725586
1660,182.29566431045532
1602,183.95540499687195
1599,184.37515306472778
1589,195.16471982002258
1556,195.94752073287964
1549,198.950786113739
1667,210.30380082130432
1651,212.16552186012268
1625,212.24161744117737
1606,212.26845264434814
1667,240.35132670402527
1637,243.501136302948
1626,249.6369752883911
1575,257.7837493419647
1556,261.5423409938812
1768,270.3182940483093
1667,270.31928277015686
1638,276.3011133670807
1604,281.6021945476532
5149,300.3097712993622
1667,300.3107671737671
1662,305.06207156181335
1660,308.4140341281891
1644,308.9098539352417
1626,314.647394657135
1607,328.6296708583832
