best_solution_length,time
5685,0.02194046974182129
4689,0.022942781448364258
1768,0.024937152862548828
1667,0.025934457778930664
1637,9.842698097229004
1625,10.834093809127808
1623,11.009524583816528
1556,12.473941087722778
1768,29.93339228630066
1711,29.934343338012695
1677,30.061524868011475
1637,30.132763385772705
1626,47.18212032318115
1711,59.87043881416321
1667,59.87135601043701
1663,60.83726620674133
1657,69.70164132118225
1624,72.67635941505432
1612,85.83655142784119
1768,89.8793568611145
1667,89.88032364845276
1663,94.96856021881104
1617,96.52960348129272
1556,105.47139310836792
1768,120.0073299407959
1711,120.0093686580658
1667,120.01036739349365
1649,125.54102110862732
1582,125.84528160095215
4509,149.99385929107666
1667,149.99585390090942
1666,155.27768063545227
1626,157.12160444259644
1617,158.52515864372253
1556,165.7440047264099
1711,179.97602462768555
1667,179.9770541191101
1636,180.00694274902344
1631,183.7945373058319
1606,196.09121584892273
1587,198.56100940704346
1584,199.9037103652954
1578,200.55666303634644
4430,209.90662288665771
1768,209.90758180618286
1667,209.90858030319214
1617,212.6551103591919
1575,217.83338952064514
1572,217.96303963661194
1556,219.00552415847778
1711,239.9316372871399
1667,239.93266081809998
1617,242.08209419250488
1556,245.72702169418335
1711,270.0484023094177
1667,270.0499336719513
1663,270.5409994125366
1637,273.6092929840088
1667,300.06352281570435
1617,305.8866913318634
1556,326.8923547267914
