best_solution_length,time
1768,0.006982088088989258
1711,0.007978439331054688
1667,0.007978439331054688
1660,1.4511148929595947
1626,2.0116164684295654
1624,8.098256826400757
1621,16.743760347366333
5007,29.923932313919067
1711,29.9249107837677
1667,29.9249107837677
1637,32.627140522003174
1626,36.13464713096619
1768,59.8255512714386
1711,59.8255512714386
1667,59.82658553123474
1637,60.194605588912964
1630,60.19957089424133
1622,61.15868353843689
1667,89.76593923568726
1663,89.84709525108337
1637,89.95903468132019
1626,93.41845536231995
1617,95.81591439247131
1556,108.15909790992737
4753,119.71133160591125
1667,119.71237301826477
1666,121.36088728904724
1626,122.78611707687378
1617,130.20401120185852
1556,134.36158752441406
1667,149.64862084388733
1636,149.93245673179626
1617,151.51282000541687
1556,171.46238803863525
4973,179.59289360046387
1711,179.5938949584961
1667,179.5938949584961
1661,181.64571690559387
1637,184.66918349266052
1626,184.86372566223145
1617,185.51372575759888
1556,191.4790813922882
1667,209.56725358963013
1637,212.24759030342102
1626,212.38752794265747
1559,215.39712071418762
1556,217.15695905685425
1711,239.4687430858612
1667,239.46973943710327
1637,239.71045923233032
1631,244.2634391784668
1609,246.0461835861206
1607,247.97869300842285
1606,259.03843355178833
5031,269.40286087989807
4651,269.40286087989807
1768,269.40385818481445
1711,269.40385818481445
1667,269.4048557281494
1663,269.4155571460724
1637,273.3504891395569
1626,273.5188148021698
1567,279.06111669540405
4626,299.3743214607239
1667,299.3743214607239
1664,301.0371961593628
1663,305.2310552597046
1636,305.39296865463257
