best_solution_length,time
4530,0.022304534912109375
1768,0.022937297821044922
1711,0.02492070198059082
1667,0.025918006896972656
1666,10.733352661132812
1638,13.692942142486572
1626,20.996232271194458
1609,28.26290488243103
1768,30.02435040473938
1711,30.025381565093994
1667,30.02761220932007
1663,30.97075319290161
1646,32.268452167510986
1627,32.31233263015747
1609,33.619208574295044
1606,33.91095328330994
1667,60.03727746009827
1666,65.24894094467163
1617,65.8108320236206
1556,72.89690661430359
1768,90.00313210487366
1711,90.00415802001953
1667,90.00515651702881
1662,91.60623669624329
1661,93.13646078109741
1628,93.44894814491272
1625,93.63965392112732
1621,94.88287138938904
1609,96.24951410293579
1606,96.26547122001648
1768,119.93250584602356
1711,119.93350839614868
1667,119.93451046943665
1637,123.12026071548462
1626,128.038676738739
1624,128.307932138443
1623,137.43540573120117
5289,150.15540742874146
4667,150.15720653533936
1667,150.15815544128418
1662,156.0003685951233
1617,161.00328946113586
1556,161.21055245399475
1667,180.19172859191895
1642,182.61068749427795
1617,189.85043358802795
4801,210.345134973526
1711,210.3461344242096
1667,210.34812545776367
1666,224.99209809303284
1637,227.4068911075592
1626,236.09847402572632
1768,240.42410016059875
1711,240.42513751983643
1667,240.42713689804077
1666,252.21060919761658
1664,252.23649311065674
1638,253.27505731582642
1628,253.61362266540527
1626,259.69373178482056
1624,266.0709846019745
1667,270.60061979293823
1556,277.08029222488403
1711,300.5113809108734
1667,300.51307940483093
1666,307.30071210861206
1617,309.0848460197449
1556,323.83745193481445
