best_solution_length,time
1711,0.0209810733795166
1667,0.021895885467529297
1556,11.531461477279663
1667,29.985023260116577
1623,31.737809419631958
1622,36.974061250686646
1768,59.904217004776
1667,59.90474081039429
1663,63.07704448699951
1660,65.1120777130127
1653,75.77695298194885
1651,80.3493230342865
1711,89.9760193824768
1667,89.97801494598389
1636,90.21750783920288
1626,97.29133558273315
1609,114.13438677787781
1667,119.96089959144592
1636,120.21045970916748
1611,124.9185106754303
1579,125.20137405395508
1576,126.94878768920898
1768,149.95264887809753
1667,149.9536828994751
1637,150.23295974731445
1626,162.76806926727295
4639,179.92777705192566
1768,179.92977213859558
1667,179.93176579475403
1651,182.48517060279846
1646,182.4983160495758
1606,186.88486790657043
1592,199.05038332939148
1711,209.86523246765137
1667,209.8667492866516
1660,214.6890435218811
1626,215.590074300766
1711,239.7708239555359
1667,239.77282309532166
1642,240.7786829471588
1628,248.16488933563232
1626,249.37699222564697
1711,269.67650866508484
1667,269.6772315502167
1624,271.6989197731018
1617,277.65897727012634
1606,278.16066908836365
1667,299.7824110984802
1658,304.183961391449
1657,306.97074031829834
1617,307.2371623516083
1607,309.98447608947754
