best_solution_length,time
1747,2.54390811920166
1740,12.118226766586304
1739,14.313174486160278
1734,16.000946521759033
1732,18.958399057388306
1724,19.865042686462402
1723,21.199284315109253
1722,26.540536880493164
1719,28.29597568511963
1718,28.39272904396057
1703,29.044672966003418
1700,33.27773594856262
1698,33.68127655982971
1693,34.33050847053528
1690,37.406323194503784
1688,37.71947240829468
1687,40.28724503517151
1686,41.86316275596619
1684,46.571786403656006
1683,47.690420150756836
1682,48.83793377876282
1673,56.69548511505127
1672,62.195273876190186
1665,62.68860054016113
1661,66.18542504310608
1652,67.83945059776306
1651,68.87965655326843
1650,71.13715624809265
1649,73.15374779701233
1647,75.78080654144287
1637,76.12063241004944
1636,79.50917887687683
1626,81.13406682014465
1625,82.2379207611084
1623,83.79754209518433
1622,84.15452909469604
1613,85.9151394367218
1611,88.50405430793762
1605,92.54156517982483
1770,97.57146644592285
1747,97.57251310348511
1745,103.2111587524414
1744,103.41440176963806
1743,103.68513655662537
1742,103.76699137687683
1741,104.17494916915894
1740,104.81456160545349
1735,108.39228177070618
1734,110.9529767036438
1733,115.270667552948
1730,117.14093613624573
1725,120.43090772628784
1718,120.77164602279663
1716,120.99404740333557
1707,122.6334867477417
1701,122.82922768592834
1691,123.79403614997864
1689,124.3120493888855
1679,127.52877020835876
1677,132.47620177268982
1673,142.04884791374207
1664,142.66906833648682
1663,144.7981288433075
1661,148.39302587509155
1652,149.4436309337616
1643,150.4694836139679
1642,156.0431091785431
1640,161.95236158370972
1637,171.60142469406128
1634,176.3909878730774
1629,181.56839418411255
1622,182.294579744339
1853,192.6550533771515
1767,192.65613460540771
1757,192.65613460540771
1752,192.65842843055725
1747,192.65842843055725
1744,203.60840725898743
1743,203.67177534103394
1742,203.82050728797913
1740,204.36030316352844
1737,205.76957058906555
1736,207.03092885017395
1731,207.62890887260437
1730,207.790687084198
1729,209.355610370636
1725,212.8754801750183
1720,212.90391302108765
1719,217.95915985107422
1718,218.37759852409363
1710,218.57958388328552
1708,219.643226146698
1705,221.49938440322876
1702,228.33899784088135
1699,231.7673647403717
1695,234.16872191429138
1693,235.31300520896912
1690,237.358638048172
1687,237.60099124908447
1684,240.01840925216675
1681,240.44262647628784
1673,240.9585075378418
1671,247.22742247581482
1669,247.70876216888428
1667,254.13400077819824
1664,254.44245553016663
1663,254.75224494934082
1662,256.1759400367737
1653,259.0664613246918
1649,259.33003544807434
1648,267.2850487232208
1645,267.9634289741516
1644,269.0822570323944
1643,273.3085162639618
1626,273.92169666290283
1621,274.4322512149811
1618,279.47896432876587
1617,284.50368094444275
