best_solution_length,time
6893,2.4851555824279785
1779,2.4861562252044678
1763,2.4871537685394287
1762,4.3085949420928955
1760,4.6461341381073
1757,5.226930856704712
1754,7.970856189727783
1751,8.205171585083008
1747,10.431516647338867
1745,10.807909727096558
1743,10.94378924369812
1740,11.565893173217773
1738,11.803611278533936
1737,13.589332580566406
1736,14.947617292404175
1730,15.04109811782837
1729,16.127641677856445
1727,16.20754337310791
1726,17.1823947429657
1715,18.534657955169678
1706,19.3691189289093
1701,19.919979095458984
1698,20.918619871139526
1697,22.112868309020996
1694,23.76925492286682
1690,24.780954837799072
1689,33.43239378929138
1688,35.05843138694763
1687,38.3685200214386
1686,39.21374464035034
1685,39.8084602355957
1678,42.10005712509155
1673,44.450626373291016
1668,45.49611258506775
1667,47.225494384765625
1664,50.25473499298096
1662,52.49816870689392
1658,54.081037759780884
1655,54.17711806297302
1649,55.24129295349121
1648,57.35019373893738
1647,59.47496271133423
1645,59.851574420928955
1640,63.091185331344604
1638,63.7342312335968
1628,63.91394519805908
1627,66.32660627365112
1626,66.97924971580505
1624,70.11213731765747
1619,72.76821875572205
1615,74.05378103256226
1609,77.44501495361328
1605,81.00432348251343
1600,81.71359300613403
1599,86.55718064308167
1594,90.53470754623413
1581,91.50169229507446
1572,94.15894508361816
1766,97.58110857009888
1763,97.58110857009888
1762,101.990238904953
1760,103.5907347202301
1746,104.51757431030273
1745,104.86123991012573
1744,106.52292728424072
1743,107.59940767288208
1742,109.61156415939331
1741,111.32364010810852
1726,111.49422073364258
1725,112.05598187446594
1721,121.35212063789368
1720,133.79147624969482
1718,136.692444562912
1716,137.71496725082397
1715,138.57140731811523
1714,139.06474661827087
1705,140.4800250530243
1704,140.98306465148926
1699,141.02606987953186
1694,144.42475128173828
1691,149.16662621498108
1687,149.28279161453247
1684,152.78855204582214
1677,159.25333833694458
1676,167.86799263954163
1672,169.53596687316895
1670,170.15825772285461
1669,173.4796121120453
1668,176.73140239715576
1663,176.85712456703186
1662,182.80012583732605
1648,185.9560980796814
1635,186.94974207878113
1633,187.01116490364075
1880,192.59011268615723
1774,192.5911509990692
1764,192.5911509990692
1759,198.51496505737305
1758,198.86646509170532
1757,199.17567825317383
1754,199.3377935886383
1753,200.77372765541077
1735,201.10098505020142
1714,202.22397089004517
1696,203.7696554660797
1695,205.74867153167725
1693,207.44202876091003
1686,209.34406089782715
1685,212.65943121910095
1684,213.92064809799194
1678,215.0429151058197
1676,220.1517379283905
1675,221.2450122833252
1667,228.1622292995453
1659,228.22634863853455
1651,231.54475665092468
1650,232.9116771221161
1648,236.2668435573578
1642,237.52515769004822
1633,242.60851407051086
1632,243.00484323501587
1630,243.04046297073364
1628,243.76184749603271
1624,245.1380648612976
1615,245.98969507217407
1614,247.26248121261597
1613,250.618581533432
1610,256.95176100730896
1608,261.02779603004456
1604,264.98955845832825
1603,268.8319923877716
1602,269.00857400894165
1601,269.4736361503601
1595,269.9500665664673
1593,273.24164056777954
1591,277.8939838409424
1590,279.3418753147125
1587,279.8580355644226
1582,279.91907024383545
