best_solution_length,time
7036,2.400270938873291
6572,2.400270938873291
1776,2.4013118743896484
1770,2.4032626152038574
1752,2.4032626152038574
1749,41.0290801525116
1748,41.28711652755737
1747,45.57392907142639
1738,45.8674693107605
1730,50.51866888999939
1729,50.75584053993225
1728,52.29518485069275
1727,53.94801330566406
1716,62.64528965950012
1715,63.26312780380249
1714,78.63218212127686
1712,82.44467830657959
1711,83.5564706325531
1703,87.50268769264221
1702,88.95554184913635
1695,89.57700443267822
1694,90.53017520904541
1693,91.439932346344
1684,92.17943406105042
6875,97.67329406738281
1779,97.67432808876038
1763,97.67532730102539
1747,97.67848896980286
1744,101.61706829071045
1742,101.82536101341248
1736,102.75070095062256
1734,107.96327638626099
1733,110.84973287582397
1731,113.50763034820557
1727,115.46080732345581
1726,115.66964435577393
1723,122.7438063621521
1721,130.16355919837952
1716,131.50082802772522
1714,133.03618240356445
1713,137.9813871383667
1712,140.20178413391113
1710,140.87029218673706
1702,141.64108538627625
1696,143.126797914505
1693,145.7659695148468
1691,150.69338083267212
1690,154.9459617137909
1689,156.75313568115234
1683,160.18143367767334
1682,163.23287177085876
1672,165.48393940925598
1669,166.0746967792511
1667,168.12688207626343
1666,172.38882517814636
1664,177.60414743423462
1658,179.87474656105042
1649,186.5675904750824
1648,187.11109805107117
6900,192.71367478370667
1779,192.71367478370667
1769,192.71475219726562
1763,192.71761894226074
1747,192.71761894226074
1746,201.6023235321045
1744,201.67583513259888
1731,203.8277449607849
1718,209.44175338745117
1716,211.24982261657715
1711,215.12247371673584
1710,217.60854291915894
1706,219.74292016029358
1705,220.84865760803223
1703,221.04042649269104
1694,223.5724458694458
1690,228.5622763633728
1681,228.7900106906891
1676,231.81102108955383
1675,233.30261087417603
1674,238.18399024009705
1672,238.44032430648804
1670,240.46020889282227
1659,240.6069633960724
1658,241.9479148387909
1656,244.0851113796234
1655,244.1293580532074
1653,248.55137062072754
1645,249.64572143554688
1636,250.0798635482788
1634,252.583801984787
1630,252.768310546875
1628,254.59236764907837
1624,257.24506664276123
1615,259.5524582862854
1614,267.3868064880371
1611,269.2807092666626
1609,270.1028037071228
1608,270.76960349082947
1605,274.79875206947327
