best_solution_length,time
1759,2.5709078311920166
1757,2.5709078311920166
1752,2.5719821453094482
1747,2.576181173324585
1745,7.425111532211304
1742,7.970712900161743
1737,11.448890209197998
1735,16.725045680999756
1731,16.871037483215332
1730,17.432257413864136
1729,18.777572870254517
1727,19.548213481903076
1726,20.90689182281494
1723,22.608052015304565
1722,23.976973295211792
1719,26.48318839073181
1710,26.726735591888428
1706,30.716367959976196
1702,31.6818585395813
1701,31.878535985946655
1697,34.610899686813354
1688,35.55496954917908
1687,35.74248123168945
1686,40.572526931762695
1684,41.3782684803009
1683,48.1089985370636
1681,48.20514965057373
1671,48.220704555511475
1670,49.51941514015198
1669,49.613391399383545
1668,57.78973722457886
1667,60.89764165878296
1664,61.4397337436676
1656,62.82102036476135
1653,63.31963086128235
1649,68.65324711799622
1647,74.5577745437622
1638,77.93893694877625
1637,80.49609518051147
1628,82.63502168655396
1617,82.94910192489624
1616,86.05157995223999
1611,97.93436479568481
1608,102.71568322181702
1602,104.89581227302551
1598,106.93289923667908
1596,111.87451958656311
1588,112.28400039672852
1587,114.00001382827759
1579,116.63869261741638
1569,119.87716031074524
1568,122.35681438446045
1566,127.47346234321594
1559,134.29107189178467
1558,135.1831078529358
1557,144.62330031394958
1551,144.7287039756775
1548,145.4210057258606
1779,152.44623637199402
1767,152.44728231430054
1763,152.44728231430054
1752,152.44839787483215
1749,156.18122696876526
1748,157.1636621952057
1747,158.4443621635437
1744,158.699777841568
1742,158.77417421340942
1737,161.7116346359253
1735,162.08634567260742
1725,162.59351706504822
1721,164.42555618286133
1718,164.47749066352844
1716,169.53069281578064
1712,170.76172375679016
1711,170.9958050251007
1708,171.96975588798523
1707,173.42569971084595
1703,175.43032503128052
1695,178.50386452674866
1694,180.43731307983398
1685,183.726717710495
1678,185.4807596206665
1677,186.3074929714203
1676,186.9459228515625
1675,189.2371311187744
1673,189.5813024044037
1671,191.8255364894867
1663,192.34466648101807
1659,192.9077663421631
1658,195.7452335357666
1657,196.6750829219818
1656,203.43940114974976
1652,209.9730749130249
1651,210.4389681816101
1648,210.87131571769714
1640,217.22706174850464
1638,218.6608488559723
1627,220.8815450668335
1613,222.66779851913452
1612,224.4512701034546
1611,225.96686553955078
1602,228.2184498310089
1600,234.9521608352661
1599,236.9706883430481
1596,248.0404407978058
1595,251.9710659980774
1594,253.9290635585785
1592,259.19107818603516
1584,260.43054246902466
1583,270.22471594810486
1582,272.31453132629395
1580,273.86611461639404
1578,277.8376624584198
1571,279.72311782836914
1570,279.81567335128784
1569,282.2177529335022
1567,282.31573486328125
1565,284.2099680900574
1560,295.06228256225586
1770,302.41917395591736
1747,302.41917395591736
1746,310.81753301620483
1745,311.5591711997986
1741,312.42011284828186
1739,312.66166639328003
1738,313.69148421287537
1737,317.9700345993042
1734,328.60907006263733
1731,330.135516166687
1719,333.40627121925354
1715,336.0912981033325
1710,336.37798714637756
1709,337.48434948921204
1704,338.5624828338623
1700,339.0584397315979
1694,339.25379633903503
1691,342.3910593986511
1686,342.88366985321045
1684,348.3816545009613
1678,349.6495223045349
1676,356.60900831222534
1668,357.7032058238983
1667,360.4777412414551
1665,363.012531042099
1664,363.21029591560364
1663,365.7395703792572
1660,370.5165400505066
1652,371.19351601600647
1651,374.34608221054077
1650,375.33929681777954
1646,376.9569342136383
1643,379.54985904693604
1639,380.89010071754456
1629,383.34460949897766
1626,386.6523745059967
1622,387.40087699890137
1621,387.8146731853485
1619,388.49685978889465
1616,397.340535402298
1613,398.0715606212616
1610,399.49478340148926
1608,399.94914960861206
1600,401.9409775733948
1599,404.8302261829376
1598,423.45074009895325
1588,440.0007586479187
1584,440.4161169528961
1581,445.9190104007721
1571,447.8615267276764
