Problem name,Best known solution length,Our solution length
p43,5620,5633
ry48p,14422,15105
ftv44,1613,1753
ftv64,1839,1967
ftv33,1286,1427
kro124p,36230,41013
ftv38,1530,1616
ftv55,1608,1795
ft53,6905,7906
ftv35,1473,1556
br17,39,39
rbg323,1326,1578
rbg358,1163,1543
rbg443,2720,3281
rbg403,2465,2944
ft70,38673,40500
ftv170,2755,3420
ftv47,1776,1946
ftv70,1950,2076
